Entrez	Symbol	Name	Length
5982	RFC2	replication factor C (activator 1) 2, 40kDa	1632
3310	HSPA6	heat shock 70kDa protein 6 (HSP70B')	2763.5
7849	PAX8	paired box 8	3815
2978	GUCA1A	guanylate cyclase activator 1A (retina)	1908
7318	UBA7	ubiquitin-like modifier activating enzyme 7	3336
7067	THRA	thyroid hormone receptor, alpha	2415.5
11099	PTPN21	protein tyrosine phosphatase, non-receptor type 21	6227
6352	CCL5	chemokine (C-C motif) ligand 5	1230
1571	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	1515
2049	EPHB3	EPH receptor B3	4235
2101	ESRRA	estrogen-related receptor alpha	2226.5
1548	CYP2A6	cytochrome P450, family 2, subfamily A, polypeptide 6	1397
949	SCARB1	scavenger receptor class B, member 1	2647
23170	TTLL12	tubulin tyrosine ligase-like family, member 12	2485
112597	LINC00152	long intergenic non-protein coding RNA 152	643
10406	WFDC2	WAP four-disulfide core domain 2	496.5
5594	MAPK1	mitogen-activated protein kinase 1	1504
203102	ADAM32	ADAM metallopeptidase domain 32	2310.5
128153	SPATA17	spermatogenesis associated 17	1246
163154	PRR22	proline rich 22	1518
54899	PXK	PX domain containing serine/threonine kinase	2021.5
57617	VPS18	vacuolar protein sorting 18 homolog (S. cerevisiae)	3899
91283	MSANTD3	Myb/SANT-like DNA-binding domain containing 3	1699
113235	SLC46A1	solute carrier family 46 (folate transporter), member 1	6408
91937	TIMD4	T-cell immunoglobulin and mucin domain containing 4	1293
283375	SLC39A5	solute carrier family 39 (metal ion transporter), member 5	1974
79844	ZDHHC11	zinc finger, DHHC-type containing 11	2129
172	AFG3L1P	AFG3 ATPase family member 3-like 1 (S. cerevisiae), pseudogene	2129.5
148113	CILP2	cartilage intermediate layer protein 2	4214
54965	PIGX	phosphatidylinositol glycan anchor biosynthesis, class X	3097
256130	TMEM196	transmembrane protein 196	3301
91252	SLC39A13	solute carrier family 39 (zinc transporter), member 13	2429
266675	BEST4	bestrophin 4	2103
221264	AKD1	adenylate kinase domain containing 1	1782
84940	CORO6	coronin 6	2377
113277	TMEM106A	transmembrane protein 106A	2732.5
84920	ALG10	asparagine-linked glycosylation 10, alpha-1,2-glucosyltransferase homolog (S. pombe)	3128
125488	TTC39C	tetratricopeptide repeat domain 39C	4900
91624	NEXN	nexilin (F actin binding protein)	2721
123207	C15orf40	chromosome 15 open reading frame 40	988.5
84839	RAX2	retina and anterior neural fold homeobox 2	2149
4238	MFAP3	microfibrillar-associated protein 3	5052
2140	EYA3	eyes absent homolog 3 (Drosophila)	1883
170575	GIMAP1	GTPase, IMAP family member 1	1267
11202	KLK8	kallikrein-related peptidase 8	1026
85478	CCDC65	coiled-coil domain containing 65	1822
159091	FAM122C	family with sequence similarity 122C	1701
220136	CCDC11	coiled-coil domain containing 11	1832
5930	RBBP6	retinoblastoma binding protein 6	5410
92806	CENPBD1	CENPB DNA-binding domains containing 1	2742
11078	TRIOBP	TRIO and F-actin binding protein	4481
117144	CATSPER1	cation channel, sperm associated 1	2630
3233	HOXD4	homeobox D4	1296
145258	GSC	goosecoid homeobox	1191
121340	SP7	Sp7 transcription factor	3082
5150	PDE7A	phosphodiesterase 7A	3093
29883	CNOT7	CCR4-NOT transcription complex, subunit 7	2314
9946	CRYZL1	crystallin, zeta (quinone reductase)-like 1	1086
260429	PRSS33	protease, serine, 33	1683
255057	C19orf26	chromosome 19 open reading frame 26	2573
157777	MCMDC2	minichromosome maintenance domain containing 2	3655
114609	TIRAP	toll-interleukin 1 receptor (TIR) domain containing adaptor protein	2076
116842	LEAP2	liver expressed antimicrobial peptide 2	584.5
124540	MSI2	musashi RNA-binding protein 2	1873.5
85477	SCIN	scinderin	3169.5
140690	CTCFL	CCCTC-binding factor (zinc finger protein)-like	2511
132321	C4orf33	chromosome 4 open reading frame 33	1594
84449	ZNF333	zinc finger protein 333	1299.5
201158	TVP23C	trans-golgi network vesicle protein 23 homolog C (S. cerevisiae)	1620
157506	RDH10	retinol dehydrogenase 10 (all-trans)	3305
135295	SRSF12	serine/arginine-rich splicing factor 12	3603
149647	FAM71A	family with sequence similarity 71, member A	2300
202309	GAPT	GRB2-binding adaptor protein, transmembrane	2219
203111	C8orf47	chromosome 8 open reading frame 47	1553
164127	C1orf65	chromosome 1 open reading frame 65	2099
150350	ENTHD1	ENTH domain containing 1	2716
81629	TSSK3	testis-specific serine kinase 3	1315
140870	WFDC6	WAP four-disulfide core domain 6	622
160364	CLEC12A	C-type lectin domain family 12, member A	1509
2972	BRF1	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)	2804
123591	C15orf27	chromosome 15 open reading frame 27	2042.5
163688	CALML6	calmodulin-like 6	1107
126206	NLRP5	NLR family, pyrin domain containing 5	3867
146852	ODF4	outer dense fiber of sperm tails 4	1152
165530	CLEC4F	C-type lectin domain family 4, member F	2155.5
259240	WFDC9	WAP four-disulfide core domain 9	663
121441	NEDD1	neural precursor cell expressed, developmentally down-regulated 1	3727
254173	TTLL10	tubulin tyrosine ligase-like family, member 10	2275
125972	CALR3	calreticulin 3	1294
220979	C10orf25	chromosome 10 open reading frame 25	1977
2117	ETV3	ets variant 3	1813.5
317719	KLHL10	kelch-like family member 10	1916
80213	TM2D3	TM2 domain containing 3	1368.5
220992	ZNF485	zinc finger protein 485	1946.5
116966	WDR17	WD repeat domain 17	7221
162387	MFSD6L	major facilitator superfamily domain containing 6-like	2104
